SampleNo.,AtterbergLimits.LL.%,AtterbergLimits.PL.%,AtterbergLimits.PI.%,AtterbergLimits.LS.%,CompactionT180.MDD.Kgm3,CompactionT180.OMC.(%),CBR.4daysSoak.(%),Swell.(%),SoilComposition.Gravel.(%),SoilComposition.Sand.(%),SoilComposition.SiltClay.(%)
1,37,25,12,6,1690,16.1,30,0.1,46,17,37
2,47,33,14,7,1780,18.7,25,0.1,50,15,35
3,51,29,22,11,1485,13.6,8,0.3,8,16,76
4,43,28,15,8,1605,19.4,17,0.2,38,30,32
5,46,32,14,7,1650,18.5,24,0.2,48,22,30
6,50,32,18,9,1490,19.9,15,0.15,37,24,39
7,52,31,21,10,1515,19.4,12,0.2,19,32,49
8,53,34,19,9,1470,17.3,16,0.2,18,27,55
9,49,37,12,7,1650,10.1,7,0.2,48,36,26
10,37,26,11,6,1715,10.5,8,0.1,56,20,24
11,47,35,12,6,1765,11.7,17,0.1,51,38,11
12,49,33,16,8,1540,16,45,0.2,55,26,19
13,49,36,13,6,1540,16,160,0.1,55,26,19
14,50,40,10,5,1540,16,190,0.1,55,26,19
15,52,44,8,4,1540,16,220,0.05,55,26,19
16,50,44,6,3,1540,16,260,0.05,55,26,19
17,39,22,17,8,1865,10.2,30,0.1,37,36,27
18,49,29,20,10,1646,18,30,0.2,54,19,27
19,41,29,12,6,1775,15.6,35,0.1,50,20,30
20,50,30,20,10,1685,16.4,29,0.2,50,19,31
21,82,34,48,9,1357,25.3,15,0.2,19,32,49
22,48,28,20,10,1990,13.8,20,0.2,49,19,32
23,46,38,8,4,1440,20,15,0.1,33,36,31
24,41,28,13,6,1681,16.2,23,0.1,43,27,30
25,42,26,16,8,1524,12.7,11,0.1,59,18,23
26,40,25,15,7,1652,13.7,22,0.1,52,23,25
27,48,29,19,10,1580,20.6,26,0.2,51,25,24
28,47,27,20,10,1771,15,28,0.2,56,30,14
29,35,20,15,8,1465,12.7,26,0.1,62,19,19
30,35,20,15,8,1601,14.8,35,0.1,62,19,19
31,52,30,22,11,1574,20.6,30,0.3,55,17,28
32,32,20,12,6,1944,12.5,26,0.2,47,23,30
33,39,27,12,6,1340,20.8,15,0.2,32,25,43
34,48,32,16,8,1774,16.2,30,0.2,40,30,30
35,41,35,6,3,1440,19.5,40,0.1,39,29,32
36,40,25,15,8,1360,13.8,10,0.2,23,12,65
37,73,52,21,11,1590,11.7,11,0.2,39,21,40
38,45,30,15,7,1740,12.4,35,0.1,52,23,25
39,55,40,15,8,1395,18.4,10,0.2,26,30,44
40,75,50,25,13,1120,27.3,1,2.6,10,25,65
41,53,34,19,9,1883,16.3,26,0.2,57,16,27
42,39,22,17,8,1865,10.2,30,0.1,37,36,27
43,48,28,20,10,1990,13.8,20,0.2,49,19,32
44,50,30,20,10,1685,16.4,29,0.2,50,19,31
45,82,34,48,9,1357,25.3,15,0.2,19,32,49
46,46,38,8,4,1440,20,15,0.1,33,36,31
47,45,27,18,9,1764,12.5,35,0.3,90,4,6
48,52,29,23,11,1470,13.2,4,0.3,3,10,87
49,51,30,21,10,1550,12,5,0.2,13,19,68
50,50,31,19,9,1347,14.9,7,0.2,29,24,47
51,47,27,20,10,1538,14.5,6,0.2,24,25,51
52,50,27,23,11,1320,25.2,8,0.2,19,17,64
53,40,27,13,6,1682,15.5,30,0.1,49,34,17
54,58,32,26,13,1273,27.2,5,0.3,9,13,78
55,64,39,25,12,1269,28,5,0.3,14,38,48
56,42,27,15,8,1682,15.5,35,0.2,41,35,24
57,52,40,12,6,1448,19.7,30,0.3,24,27,49
58,44,12,32,16,1552,15.3,6,0.3,16,34,50
59,44,27,17,9,1827,15,30,0.2,45,33,22
60,47,27,20,10,1644,21,30,0.2,67,27,6
61,44,27,17,8,1782,11.5,10,0.2,50,36,14
62,48,29,19,10,1580,20.6,28,0.2,51,25,24
63,46,31,15,7,1580,20.6,60,0.1,51,25,24
64,43,32,11,5,1580,20.6,100,0.1,51,25,24
65,40,31,9,4,1580,20.6,140,0.05,51,25,24
66,39,33,6,3,1580,20.6,170,0.05,51,25,24
67,60,36,24,7,1622,13,28,0.2,43,26,31
68,48,31,17,9,1611,16.5,30,0.2,49,20,31
69,54,35,19,10,1511,19.4,15,0.1,39,22,39
70,48,27,21,11,1607,17.5,15,0.2,66,16,18
71,40,28,12,6,1660,16,24,0.1,35,41,24
72,43,24,18,9,1526,17.3,13,0.2,63,21,16
73,77,45,31,16,1580,17.3,5,0.3,49,13,38
74,64,39,25,13,1350,19.3,8,0.2,4,30,66
75,60,32,29,14,1268,23.8,10,0.3,9,13,78
76,44,29,15,7,1820,12.5,35,0.3,51,30,19
77,68,45,23,11,1357,19.3,16,0.35,9,28,63
78,36,26,10,5,1466,14.4,26,0.2,38,28,24
79,30,20,10,5,1694,16.7,14,0.1,22,63,15
80,44,25,19,9,1716,18.3,12,0.2,2,47,51
81,32,23,9,4,1873,11.1,17,0.1,45,48,7
82,29,14,15,7,1769,11.9,15,0.1,7,65,28
83,28,18,10,5,1860,13.1,6,0.2,0,45,55
84,50,35,15,6,1544,18.7,10,0.1,0,48,52
85,32,18,14,7,1900,13,9,0.1,5,64,31
86,24,16,8,4,1978,10.7,19,0.1,1,70,29
87,34,23,11,5,1780,11.2,25,0.1,5,78,17
88,31,18,15,7,1708,13.5,12,0.1,2,50,48
89,21,17,4,2,1797,10.2,20,0.1,5,68,27
