Grading.Unnamed:0_level_1.%PassingBSSieveSize(mm).20,Grading.Unnamed:1_level_1.%PassingBSSieveSize(mm).10,Grading.Unnamed:2_level_1.%PassingBSSieveSize(mm).5,Grading.Unnamed:3_level_1.%PassingBSSieveSize(mm).2,Grading.Unnamed:4_level_1.%PassingBSSieveSize(mm).0.425,Grading.Unnamed:5_level_1.%PassingBSSieveSize(mm).0.075,AtterbergLimits.Unnamed:6_level_1.LL.%,AtterbergLimits.Unnamed:7_level_1.PL.%,AtterbergLimits.Unnamed:8_level_1.PI.%,AtterbergLimits.Unnamed:9_level_1.LS.%,AtterbergLimits.Unnamed:10_level_1.PM.Unnamed:10_level_3,Compaction.Unnamed:11_level_1.MDD.Kgm3,Compaction.Unnamed:12_level_1.OMC.(%),CBR.Unnamed:13_level_1.4daysSoak.(%),Swell.Unnamed:14_level_1.(%).Unnamed:14_level_3,SoilComposition.Unnamed:15_level_1.Gravel.(%),SoilComposition.Unnamed:16_level_1.Sand.(%),SoilComposition.Unnamed:17_level_1.SiltClay.(%)
100,82,55,35,27,24,53,31,22,11,594,1599.0,21.5,40.0,0.3,65,11,24
100,87,71,58,44,35,37,21,16,8,704,1704.0,13.5,20.0,0.2,42,23,35
100,98,88,78,57,43,44,23,22,11,1254,1459.0,34.0,10.0,0.2,22,35,43
100,82,65,52,33,25,35,27,8,4,264,1521.0,20.4,35.0,0.1,48,27,25
100,98,89,69,49,34,55,36,18,9,882,1831.0,11.5,14.0,0.2,31,35,34
100,98,87,63,38,23,43,25,18,9,684,1840.0,11.5,14.0,0.2,37,60,3
100,96,89,72,40,22,34,22,12,6,480,1808.0,10.2,12.0,0.2,28,50,22
100,100,99,91,79,63,68,45,23,11,1817,1357.0,19.3,16.0,0.35,9,28,63
100,97,82,61,52,48,48,25,22,11,1144,1775.0,8.2,17.0,0.3,39,13,48
100,98,90,79,70,63,52,34,18,9,1260,1805.0,6.1,21.0,0.2,21,16,63
100,83,64,43,32,23,43,25,18,8,576,1952.0,8.5,35.0,0.2,57,20,23
100,90,68,50,34,30,44,31,14,7,476,1775.0,17.8,35.0,0.1,50,20,30
100,85,73,62,44,34,36,26,10,5,440,1466.0,14.4,26.0,0.2,38,28,34
100,93,73,61,48,39,54,35,19,10,912,1511.0,19.4,15.0,0.1,39,22,39
100,84,68,55,33,12,25,21,4,2,132,1952.0,9.4,45.0,0.1,45,43,12
100,88,68,50,31,18,40,29,11,5,341,1940.0,8.2,45.0,0.2,50,32,18
100,86,66,39,22,14,36,25,11,5,242,1905.0,11.7,30.0,0.2,61,25,14
100,84,71,61,47,41,52,38,14,7,658,1354.0,19.0,16.0,0.2,39,20,41
100,99,97,93,62,42,37,25,12,6,744,1617.0,17.0,30.0,0.1,7,51,42
100,87,67,49,28,19,44,29,15,7,420,1820.0,12.5,35.0,0.3,51,30,19
100,97,88,81,68,60,57,40,17,8,1156,1370.0,33.4,17.0,0.3,19,21,60
100,96,81,76,59,49,41,23,18,9,1062,1555.0,22.5,16.0,0.3,24,27,49
100,96,88,78,60,44,48,38,10,5,600,1555.0,19.8,14.0,0.4,22,34,44
100,98,92,85,67,51,60,32,28,14,1876,1355.0,22.4,2.0,1.9,15,34,51
100,91,76,67,42,30,29,17,13,6,546,1585.0,17.6,21.0,0.3,33,37,30
100,98,92,85,67,51,29,17,13,6,871,1555.0,18.4,15.0,0.3,15,34,51
100,90,83,75,61,51,34,20,24,12,1464,1470.0,24.4,2.0,2.0,25,24,51
100,89,78,68,60,53,38,27,12,6,720,1215.0,32.2,40.0,0.1,32,15,53
100,99,97,95,90,83,49,29,20,10,1800,1315.0,26.0,5.0,0.3,5,12,83
100,96,85,71,66,56,47,23,24,12,1584,1385.0,24.8,9.0,0.3,29,15,56
100,93,83,76,68,65,53,38,14,7,952,1250.0,31.2,25.0,0.2,24,11,65
100,93,82,75,67,61,49,27,22,11,1474,1360.0,29.2,9.0,0.4,25,14,61
100,98,95,92,87,82,49,29,24,12,2088,1275.0,32.5,5.0,0.3,8,10,82
100,74,46,28,19,16,62,40,22,11,418,1758.0,16.5,40.0,0.2,72,12,16
100,94,82,69,60,50,57,34,22,11,1320,1400.0,19.8,12.0,0.3,31,19,50
100,98,95,91,83,71,45,27,18,9,1494,1426.0,20.3,13.0,0.3,9,20,71
100,88,71,56,40,30,40,24,16,8,640,1624.0,15.3,30.0,0.2,44,26,30
100,96,89,80,68,59,48,26,22,11,1496,1384.0,22.7,9.0,0.3,20,21,59
100,96,89,77,66,57,48,29,20,10,1320,1356.0,19.6,12.0,0.3,23,20,57
100,89,71,60,40,34,36,24,12,6,480,1388.0,23.5,27.0,0.2,40,26,34
100,86,73,61,41,32,41,35,6,3,246,1440.0,19.5,40.0,0.1,39,29,32
100,94,79,52,35,29,70,48,22,11,770,1752.0,12.5,25.0,0.3,48,23,29
100,91,75,58,35,25,43,33,10,5,350,1790.0,19.6,30.0,0.1,42,33,25
100,69,49,41,34,32,56,38,18,9,612,1472.0,24.6,15.0,0.3,59,9,32
100,84,69,62,49,43,58,31,27,14,1323,1419.0,22.4,13.0,0.3,38,19,43
100,73,56,48,45,36,60,39,21,11,945,1419.0,25.8,13.0,0.3,52,12,36
100,86,70,56,40,34,70,40,30,15,1200,1389.0,22.0,12.0,0.3,44,22,34
100,75,56,46,33,28,66,42,24,12,792,1411.0,25.8,21.0,0.3,54,18,28
100,90,76,61,24,25,56,40,16,8,384,1455.0,23.0,20.0,0.3,39,36,25
100,78,63,54,43,40,64,35,29,14,1247,1405.0,26.2,17.0,0.3,46,14,40
100,87,68,57,39,32,58,33,26,13,1014,1419.0,25.9,24.0,0.3,43,18,39
100,78,58,48,38,35,58,36,22,11,836,1555.0,20.0,25.0,0.3,52,13,35
100,72,56,47,35,29,65,38,28,14,980,1265.0,26.2,10.0,0.3,53,18,29
100,72,51,40,28,30,69,41,28,14,784,1260.0,27.9,12.0,0.3,60,10,30
100,90,81,65,45,33,64,35,29,14,1305,1249.0,32.5,13.0,0.3,35,32,33
100,87,70,55,37,30,55,33,22,11,1036,1494.0,21.4,18.0,0.3,45,25,30
100,90,75,63,44,29,43,30,14,7,616,1671.0,15.9,19.0,0.3,37,34,29
100,95,79,59,35,30,36,24,12,6,420,1511.0,17.1,12.0,0.3,41,29,30
100,100,99,97,85,76,42,30,12,6,1020,1671.0,16.1,15.0,0.3,3,21,76
100,96,78,59,40,35,37,23,14,7,560,1748.0,12.4,30.0,0.3,41,24,35
100,92,73,57,36,27,50,30,20,10,720,1669.0,16.1,20.0,0.3,43,30,27
100,98,88,83,59,40,37,31,6,3,354,1838.0,12.5,23.0,0.2,17,43,40
100,94,78,58,41,36,36,24,12,6,492,1649.0,15.4,21.0,0.3,42,22,36
100,87,73,57,35,24,44,30,14,7,490,1646.0,14.6,13.0,0.3,43,33,24
100,90,75,63,44,29,43,30,14,7,616,1647.0,16.1,15.0,0.3,37,34,29
100,96,75,51,30,24,40,26,14,7,420,1577.0,18.5,14.0,0.3,49,27,24
100,87,71,55,32,21,41,29,12,6,384,1574.0,18.9,16.0,0.3,45,34,21
100,92,73,57,36,27,50,30,20,10,720,1959.0,11.0,35.0,0.3,43,30,27
100,97,80,59,34,24,48,30,18,9,612,1540.0,15.9,15.0,0.3,41,35,24
100,92,74,58,38,27,50,35,14,7,532,1824.0,14.5,30.0,0.2,42,31,27
100,88,70,51,33,20,38,26,12,6,396,1850.0,15.1,35.0,0.2,49,31,20
100,87,73,57,35,24,36,21,15,7,525,1608.0,16.8,35.0,0.2,43,33,24
100,84,70,59,38,28,31,19,12,6,456,1850.0,16.2,35.0,0.2,41,31,28
100,80,70,63,40,27,39,22,17,8,680,1865.0,10.2,30.0,0.1,37,36,27
100,91,78,72,58,29,38,24,14,7,812,1725.0,12.2,26.0,0.2,28,43,29
100,92,77,60,41,26,47,33,14,7,574,1862.0,10.0,18.0,0.3,40,34,26
100,92,80,65,29,16,37,23,14,7,667,1944.0,8.6,22.0,0.1,35,49,16
100,97,84,57,27,14,22,17,4,2,108,2024.0,6.9,30.0,0.3,43,43,14
100,87,65,45,32,21,47,33,14,7,448,1804.0,11.0,40.0,0.1,55,24,21
100,65,35,21,14,12,41,22,19,9,266,1838.0,15.6,35.0,0.1,79,9,12
100,98,93,87,53,41,46,26,20,10,1060,1626.0,22.6,5.0,0.2,13,46,41
100,72,55,47,36,29,42,38,4,2,144,1500.0,18.9,30.0,0.1,53,18,29
100,86,66,46,27,15,63,51,12,6,324,1350.0,29.2,25.0,0.3,54,31,15
100,64,41,30,17,12,47,28,19,9,323,2030.0,9.0,35.0,0.3,70,18,12
100,64,41,30,17,12,47,28,19,9,323,2030.0,9.0,35.0,0.3,56,21,23
100,74,48,24,15,13,30,24,6,3,90,1418.0,11.1,65.0,0.1,76,11,13
100,66,44,30,18,14,41,22,18,9,324,1574.0,15.3,45.0,0.2,70,16,14
100,89,76,62,47,32,43,28,15,8,705,1605.0,19.4,17.0,0.2,38,30,32
100,84,67,52,35,30,46,32,14,7,490,1650.0,18.5,24.0,0.2,48,22,30
100,93,79,63,47,39,50,32,18,9,846,1490.0,19.9,15.0,0.15,37,24,39
100,97,91,81,62,49,52,31,21,10,1302,1515.0,19.4,12.0,0.2,19,32,49
100,95,89,82,71,55,53,34,19,9,1349,1470.0,17.3,16.0,0.2,18,27,55
100,95,90,85,74,58,52,30,22,11,1628,1425.0,24.2,9.0,0.3,15,27,58
100,98,93,88,78,65,52,32,20,10,1560,1488.0,17.5,22.0,0.1,12,23,65
100,91,85,78,66,53,51,32,19,9,1254,1480.0,19.6,16.0,0.2,22,25,53
100,91,83,74,60,47,50,31,19,10,1140,1480.0,19.7,17.0,0.2,26,27,47
100,96,94,91,82,63,51,32,19,9,1558,1445.0,23.5,9.0,0.3,9,28,63
100,69,51,41,30,22,37,23,14,7,420,1653.0,18.4,45.0,0.2,59,19,22
100,91,79,64,45,33,54,34,20,11,1125,1785.0,13.7,15.0,0.3,55,12,33
100,85,74,62,44,33,55,36,19,9,836,1595.0,18.0,12.0,0.2,56,11,33
100,81,55,37,29,26,48,29,19,10,551,1950.0,14.6,26.0,0.2,63,11,26
100,80,58,48,25,21,40,28,12,6,300,1430.0,20.1,40.0,0.2,52,27,21
100,100,99,92,80,76,51,29,22,11,1760,1485.0,13.6,8.0,0.3,8,16,76
96,91,80,62,47,43,25,18,9,1116,1640,16.5,12.0,0.3,,20,33,47
97,91,79,65,48,48,30,18,9,1170,1499,18.5,9.0,0.3,,21,31,48
93,85,72,52,37,38,24,14,7,728,1565,17.3,18.0,0.2,,28,35,37
100,100,99,97,93,66,44,22,11,2134,1242,25.0,7.0,0.35,,1,6,93
100,86,68,53,28,17,31,17,14,7,392,1917.0,11.0,35.0,0.2,47,36,17
100,99,98,97,94,87,52,29,23,11,2162,1470.0,13.2,4.0,0.3,3,10,87
100,99,90,87,79,68,51,30,21,10,1659,1550.0,12.0,5.0,0.2,13,19,68
100,91,79,71,57,47,50,31,19,9,1083,1347.0,14.9,7.0,0.2,29,24,47
100,93,85,76,63,51,47,27,20,10,1260,1538.0,14.5,6.0,0.2,24,25,51
100,86,70,51,20,17,40,27,13,6,260,1682.0,15.5,30.0,0.1,49,34,17
100,90,59,34,23,18,48,27,21,11,483,1607.0,17.5,15.0,0.2,66,16,18
100,97,84,65,35,24,40,28,12,6,420,1660.0,16.0,24.0,0.1,35,41,24
100,81,57,37,21,16,54,33,22,11,462,1724.0,18.3,6.0,0.2,63,21,16
100,88,65,51,40,38,43,24,18,9,720,1526.0,17.3,13.0,0.2,49,13,38
100,100,100,96,80,66,77,45,31,16,2480,1580.0,17.3,5.0,0.3,4,30,66
100,100,98,91,84,78,64,39,25,13,2100,1350.0,19.3,8.0,0.2,9,13,78
100,90,73,64,56,51,60,32,29,14,1624,1268.0,23.8,10.0,0.3,36,13,51
100,100,100,92,77,62,66,32,34,17,2618,1260.0,20.0,4.0,0.3,8,30,62
100,96,78,53,38,27,58,33,25,12,950,1499.0,19.2,30.0,0.3,47,26,27
100,100,100,77,56,47,49,29,20,10,1120,1310.0,21.9,6.0,0.2,23,30,47
100,87,73,57,35,24,32,21,11,6,385,1680.0,15.6,35.0,0.2,43,33,24
100,92,83,80,67,51,45,30,14,7,938,1461.0,21.7,10.0,0.1,20,29,51
100,92,82,70,48,46,25,17,8,3,384,1930.0,8.8,15.0,0.1,30,24,46
100,94,88,84,69,50,44,12,32,16,2208,1552.0,15.3,6.0,0.3,16,34,50
100,100,98,91,84,78,58,32,26,13,2184,1273.0,27.2,5.0,0.3,9,13,78
100,100,100,86,60,48,64,39,25,12,1500,1269.0,28.0,5.0,0.3,14,38,48
100,100,100,100,88,79,58,32,26,13,2288,1288.0,28.1,3.0,0.3,0,21,79
100,100,100,93,77,59,42,25,17,9,1309,1265.0,24.9,6.0,0.2,7,34,59
100,100,100,92,77,62,34,23,12,6,924,1310.0,20.6,5.0,0.1,24,27,49
100,99,93,82,60,45,48,30,19,9,1140,1290.0,26.8,7.0,0.2,18,37,45
100,76,59,46,27,21,28,22,6,3,162,1519.0,11.8,35.0,0.1,54,25,21
100,85,60,49,35,24,48,29,16,10,560,1580.0,20.6,28.0,0.2,51,25,24
100,86,73,59,33,24,42,27,15,8,495,1682.0,15.5,35.0,0.2,41,35,24
100,96,89,81,73,64,50,27,23,11,1679,1320.0,25.2,8.0,0.2,19,17,64
100,76,61,50,33,14,44,27,17,8,561,1782.0,11.5,10.0,0.2,50,36,14
100,76,46,33,15,6,47,27,20,10,300,1644.0,21.0,30.0,0.2,67,27,6
100,86,75,55,33,22,44,27,18,9,594,1827.0,15.0,30.0,0.2,45,33,22
100,83,60,49,40,38,50,31,19,9,760,1438.0,19.1,35.0,0.2,51,11,38
100,100,100,100,93,82,25,12,13,6,1209,1680.0,13.5,7.0,0.3,0,18,82
100,99,97,95,80,60,22,15,8,4,640,1705.0,12.0,8.0,0.2,5,35,60
100,100,97,90,84,77,55,31,24,12,2016,1432.0,16.0,8.0,0.35,10,13,77
100,100,99,97,85,76,63,29,25,13,2125,1279.0,20.7,10.0,0.3,3,21,76
100,100,100,100,99,98,64,38,26,13,2574,1378.0,20.0,8.0,0.35,0,2,98
100,97,93,89,68,60,57,39,18,9,1224,1364.0,19.5,15.0,0.3,11,29,60
100,100,100,99,98,96,64,43,21,11,2058,1385.0,15.5,8.0,0.35,1,3,96
100,91,76,66,49,40,60,37,23,11,1127,1319.0,18.1,17.0,0.3,34,26,40
100,94,78,62,48,43,62,33,29,14,1392,1352.0,25.9,18.0,0.3,38,19,43
100,100,100,100,98,95,51,32,19,10,1862,1320.0,23.3,6.0,0.35,0,5,95
100,88,72,60,45,35,56,38,18,9,810,1450.0,19.3,23.0,0.3,40,25,35
100,100,100,100,99,98,69,36,33,16,3267,1390.0,17.4,7.0,0.35,0,2,98
100,95,89,83,76,71,55,33,22,11,1672,1428.0,17.6,19.0,0.3,17,12,71
100,100,100,75,62,54,58,40,18,9,1116,1369.0,20.2,16.0,0.3,25,21,54
100,100,100,100,99,98,63,42,21,11,2079,1302.0,32.3,8.0,0.3,0,2,98
100,93,87,84,76,65,59,37,22,11,1672,1260.0,30.8,9.0,0.3,16,19,65
100,88,78,70,55,48,52,42,10,5,550,1446.0,21.0,20.0,0.3,30,22,48
100,100,100,100,98,95,56,39,17,9,1666,1289.0,25.0,10.0,0.3,0,5,95
100,100,100,100,96,94,60,38,22,11,2112,1307.0,26.8,8.0,0.3,0,6,94
100,100,100,100,99,97,63,42,21,11,2079,1405.0,21.4,12.0,0.3,0,3,97
100,100,100,100,99,98,61,34,27,14,2673,1250.0,33.6,5.0,0.35,0,2,98
100,100,100,100,99,99,74,48,26,13,2574,1412.0,19.5,6.0,0.35,0,1,99
100,100,100,100,99,98,64,43,21,11,2079,1355.0,19.9,7.0,0.35,0,2,98
100,98,94,88,74,55,44,28,16,8,1184,1350.0,22.0,9.0,0.3,12,33,55
100,72,41,27,21,20,48,33,15,8,315,1560.0,21.0,30.0,0.2,73,7,20
100,83,69,54,38,29,38,26,12,6,456,1710.0,13.2,30.0,0.2,46,25,29
100,93,81,71,54,50,51,45,6,3,324,1440.0,27.5,28.0,0.1,29,21,50
100,88,76,68,55,51,54,44,10,5,550,1452.0,18.9,25.0,0.2,32,17,51
100,98,93,88,79,75,50,42,8,4,632,1422.0,28.5,26.0,0.2,12,13,75
100,89,77,69,57,53,51,43,8,4,456,1440.0,28.0,28.0,0.2,31,16,53
100,87,78,61,47,40,57,40,17,8,799,1861.0,11.3,45.0,0.2,39,21,40
100,97,88,65,32,19,30,24,6,3,192,1830.0,9.4,27.0,0.1,35,46,19
100,85,71,59,40,31,50,30,20,10,800,1551.0,12.1,30.0,0.2,41,28,31
